PathwayName	PathwayID
2-LTR circle formation	REACT:R-HSA-164843
2-Oxocarboxylic acid metabolism	KEGG:hsa01210
5-Phosphoribose 1-diphosphate biosynthesis	REACT:R-HSA-73843
Abacavir metabolism	REACT:R-HSA-2161541
Abacavir transmembrane transport	REACT:R-HSA-2161517
Abacavir transport and metabolism	REACT:R-HSA-2161522
Abasic sugar-phosphate removal via the single-nucleotide replacement pathway	REACT:R-HSA-73930
ABC-family proteins mediated transport	REACT:R-HSA-382556
ABC transporter disorders	REACT:R-HSA-5619084
ABC transporters	KEGG:hsa02010
ABC transporters in lipid homeostasis	REACT:R-HSA-1369062
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate	REACT:R-HSA-2978092
Abortive elongation of HIV-1 transcript in the absence of Tat	REACT:R-HSA-167242
Acetylation	REACT:R-HSA-156582
Acetylcholine Binding And Downstream Events	REACT:R-HSA-181431
Acetylcholine Neurotransmitter Release Cycle	REACT:R-HSA-264642
Acetylcholine regulates insulin secretion	REACT:R-HSA-399997
Acrosome Reaction	REACT:R-HSA-1300645
Activated NOTCH1 Transmits Signal to the Nucleus	REACT:R-HSA-2122948
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	REACT:R-HSA-5625886
Activated point mutants of FGFR2	REACT:R-HSA-2033519
activated TAK1 mediates p38 MAPK activation	REACT:R-HSA-450302
Activated TLR4 signalling	REACT:R-HSA-166054
Activation and oligomerization of BAK protein	REACT:R-HSA-111452
Activation, myristolyation of BID and translocation to mitochondria	REACT:R-HSA-75108
Activation of AKT2	REACT:R-HSA-165158
Activation of AMPA receptors	REACT:R-HSA-399710
Activation of anterior HOX genes in hindbrain development during early embryogenesis	REACT:R-HSA-5617472
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	REACT:R-HSA-176814
Activation of ATR in response to replication stress	REACT:R-HSA-176187
Activation of BAD and translocation to mitochondria	REACT:R-HSA-111447
Activation of BH3-only proteins	REACT:R-HSA-114452
Activation of BIM and translocation to mitochondria	REACT:R-HSA-111446
Activation of BMF and translocation to mitochondria	REACT:R-HSA-139910
Activation of C3 and C5	REACT:R-HSA-174577
Activation of CaMK IV	REACT:R-HSA-442745
Activation of Ca-permeable Kainate Receptor	REACT:R-HSA-451308
Activation of caspases through apoptosome-mediated cleavage	REACT:R-HSA-111459
Activation of DNA fragmentation factor	REACT:R-HSA-211227
Activation of GABAB receptors	REACT:R-HSA-991365
Activation of gene expression by SREBF (SREBP)	REACT:R-HSA-2426168
Activation of G protein gated Potassium channels	REACT:R-HSA-1296041
Activation of HOX genes during differentiation	REACT:R-HSA-5619507
Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	REACT:R-HSA-936964
Activation of Kainate Receptors upon glutamate binding	REACT:R-HSA-451326
Activation of Matrix Metalloproteinases	REACT:R-HSA-1592389
Activation of Na-permeable Kainate Receptors	REACT:R-HSA-451307
Activation of NF-kappaB in B cells	REACT:R-HSA-1169091
Activation of Nicotinic Acetylcholine Receptors	REACT:R-HSA-629602
Activation of NIMA Kinases NEK9, NEK6, NEK7	REACT:R-HSA-2980767
Activation of NMDA receptor upon glutamate binding and postsynaptic events	REACT:R-HSA-442755
Activation of NOXA and translocation to mitochondria	REACT:R-HSA-111448
Activation of PPARGC1A (PGC-1alpha) by phosphorylation	REACT:R-HSA-2151209
Activation of PUMA and translocation to mitochondria	REACT:R-HSA-139915
Activation of Rac	REACT:R-HSA-428540
Activation of RAS in B cells	REACT:R-HSA-1169092
Activation of SMO	REACT:R-HSA-5635838
Activation of the AP-1 family of transcription factors	REACT:R-HSA-450341
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	REACT:R-HSA-72662
Activation of the phototransduction cascade	REACT:R-HSA-2485179
Activation of the pre-replicative complex	REACT:R-HSA-68962
Activation of the TFAP2 (AP-2) family of transcription factors	REACT:R-HSA-8866907
Activation of TRKA receptors	REACT:R-HSA-187015
Activation, translocation and oligomerization of BAX	REACT:R-HSA-114294
Activin signaling	KEGG:hsa_M00681
Acute myeloid leukemia	KEGG:hsa05221
Acyl chain remodeling of CL	REACT:R-HSA-1482798
Acyl chain remodeling of DAG and TAG	REACT:R-HSA-1482883
Acyl chain remodelling of PC	REACT:R-HSA-1482788
Acyl chain remodelling of PE	REACT:R-HSA-1482839
Acyl chain remodelling of PG	REACT:R-HSA-1482925
Acyl chain remodelling of PI	REACT:R-HSA-1482922
Acyl chain remodelling of PS	REACT:R-HSA-1482801
Acylglycerol degradation	KEGG:hsa_M00098
Adaptive Immune System	REACT:R-HSA-1280218
Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	KEGG:hsa_M00049
Adenosine P1 receptors	REACT:R-HSA-417973
Adenylate cyclase activating pathway	REACT:R-HSA-170660
Adenylate cyclase inhibitory pathway	REACT:R-HSA-170670
Adherens junction	KEGG:hsa04520
Adherens junctions interactions	REACT:R-HSA-418990
Adipocytokine signaling pathway	KEGG:hsa04920
ADP signalling through P2Y purinoceptor 1	REACT:R-HSA-418592
ADP signalling through P2Y purinoceptor 12	REACT:R-HSA-392170
Adrenaline,noradrenaline inhibits insulin secretion	REACT:R-HSA-400042
Adrenaline signalling through Alpha-2 adrenergic receptor	REACT:R-HSA-392023
Adrenergic signaling in cardiomyocytes	KEGG:hsa04261
Adrenoceptors	REACT:R-HSA-390696
Advanced glycosylation endproduct receptor signaling	REACT:R-HSA-879415
Aflatoxin activation and detoxification	REACT:R-HSA-5423646
African trypanosomiasis	KEGG:hsa05143
AGE-RAGE signaling pathway in diabetic complications	KEGG:hsa04933
Agmatine biosynthesis	REACT:R-HSA-351143
AKT-mediated inactivation of FOXO1A	REACT:R-HSA-211163
AKT phosphorylates targets in the cytosol	REACT:R-HSA-198323
AKT phosphorylates targets in the nucleus	REACT:R-HSA-198693
Alanine, aspartate and glutamate metabolism	KEGG:hsa00250
Alcoholism	KEGG:hsa05034
Aldosterone-regulated sodium reabsorption	KEGG:hsa04960
Aldosterone synthesis and secretion	KEGG:hsa04925
ALKBH2 mediated reversal of alkylation damage	REACT:R-HSA-112122
ALKBH3 mediated reversal of alkylation damage	REACT:R-HSA-112126
Allograft rejection	KEGG:hsa05330
Alpha-defensins	REACT:R-HSA-1462054
alpha-linolenic acid (ALA) metabolism	REACT:R-HSA-2046106
alpha-Linolenic acid metabolism	KEGG:hsa00592
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	REACT:R-HSA-2046104
Alpha-oxidation of phytanate	REACT:R-HSA-389599
Alternative complement activation	REACT:R-HSA-173736
Alzheimer's disease	KEGG:hsa05010
AMER1 mutants destabilize the destruction complex	REACT:R-HSA-4839748
Amine-derived hormones	REACT:R-HSA-209776
Amine ligand-binding receptors	REACT:R-HSA-375280
Amine Oxidase reactions	REACT:R-HSA-140179
Amino Acid conjugation	REACT:R-HSA-156587
Amino acid synthesis and interconversion (transamination)	REACT:R-HSA-70614
Amino acid transport across the plasma membrane	REACT:R-HSA-352230
Aminoacyl-tRNA biosynthesis	KEGG:hsa00970
Aminoacyl-tRNA biosynthesis, eukaryotes	KEGG:hsa_M00359
Amino sugar and nucleotide sugar metabolism	KEGG:hsa00520
Amoebiasis	KEGG:hsa05146
Amphetamine addiction	KEGG:hsa05031
AMPK inhibits chREBP transcriptional activation activity	REACT:R-HSA-163680
AMPK signaling pathway	KEGG:hsa04152
Amplification of signal from the kinetochores	REACT:R-HSA-141424
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	REACT:R-HSA-141444
Amyloid fiber formation	REACT:R-HSA-977225
Amyotrophic lateral sclerosis (ALS)	KEGG:hsa05014
Anchoring fibril formation	REACT:R-HSA-2214320
Anchoring of the basal body to the plasma membrane	REACT:R-HSA-5620912
Androgen biosynthesis	REACT:R-HSA-193048
Antagonism of Activin by Follistatin	REACT:R-HSA-2473224
Antifolate resistance	KEGG:hsa01523
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	REACT:R-HSA-983695
Antigen Presentation: Folding, assembly and peptide loading of class I MHC	REACT:R-HSA-983170
Antigen processing and presentation	KEGG:hsa04612
Antigen processing-Cross presentation	REACT:R-HSA-1236975
Antigen processing: Ubiquitination & Proteasome degradation	REACT:R-HSA-983168
Antimicrobial peptides	REACT:R-HSA-6803157
Antiviral mechanism by IFN-stimulated genes	REACT:R-HSA-1169410
APC/C:Cdc20 mediated degradation of Cyclin B	REACT:R-HSA-174048
APC/C:Cdc20 mediated degradation of mitotic proteins	REACT:R-HSA-176409
APC/C:Cdc20 mediated degradation of Securin	REACT:R-HSA-174154
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	REACT:R-HSA-174178
APC/C complex	KEGG:hsa_M00389
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	REACT:R-HSA-179419
APC-Cdc20 mediated degradation of Nek2A	REACT:R-HSA-179409
APC/C-mediated degradation of cell cycle proteins	REACT:R-HSA-174143
APC truncation mutants are not K63 polyubiquitinated	REACT:R-HSA-5467333
APC truncation mutants have impaired AXIN binding	REACT:R-HSA-5467337
Apelin signaling pathway	KEGG:hsa04371
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	REACT:R-HSA-5649702
APOBEC3G mediated resistance to HIV-1 infection	REACT:R-HSA-180689
Apoptosis	KEGG:hsa04210
Apoptosis	REACT:R-HSA-109581
Apoptosis induced DNA fragmentation	REACT:R-HSA-140342
Apoptosis - multiple species	KEGG:hsa04215
Apoptotic cleavage of cell adhesion  proteins	REACT:R-HSA-351906
Apoptotic cleavage of cellular proteins	REACT:R-HSA-111465
Apoptotic execution  phase	REACT:R-HSA-75153
Apoptotic factor-mediated response	REACT:R-HSA-111471
Apoptotic machinery	KEGG:hsa_M00685
Aquaporin-mediated transport	REACT:R-HSA-445717
Arachidonate production from DAG	REACT:R-HSA-426048
Arachidonic acid metabolism	KEGG:hsa00590
Arachidonic acid metabolism	REACT:R-HSA-2142753
Arginine and proline metabolism	KEGG:hsa00330
Arginine biosynthesis	KEGG:hsa00220
ARL13B-mediated ciliary trafficking of INPP5E	REACT:R-HSA-5624958
ARMS-mediated activation	REACT:R-HSA-170984
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2	REACT:R-HSA-211957
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	KEGG:hsa05412
Aryl hydrocarbon receptor signalling	REACT:R-HSA-8937144
Ascorbate and aldarate metabolism	KEGG:hsa00053
Asparagine N-linked glycosylation	REACT:R-HSA-446203
Assembly of collagen fibrils and other multimeric structures	REACT:R-HSA-2022090
Assembly Of The HIV Virion	REACT:R-HSA-175474
Assembly of the ORC complex at the origin of replication	REACT:R-HSA-68616
Assembly of the pre-replicative complex	REACT:R-HSA-68867
Assembly of Viral Components at the Budding Site	REACT:R-HSA-168316
Association of licensing factors with the pre-replicative complex	REACT:R-HSA-69298
Association of TriC/CCT with target proteins during biosynthesis	REACT:R-HSA-390471
Asthma	KEGG:hsa05310
Astrocytic Glutamate-Glutamine Uptake And Metabolism	REACT:R-HSA-210455
Asymmetric localization of PCP proteins	REACT:R-HSA-4608870
A tetrasaccharide linker sequence is required for GAG synthesis	REACT:R-HSA-1971475
ATF4 activates genes	REACT:R-HSA-380994
ATF6 (ATF6-alpha) activates chaperone genes	REACT:R-HSA-381183
ATF6 (ATF6-alpha) activates chaperones	REACT:R-HSA-381033
ATP sensitive Potassium channels	REACT:R-HSA-1296025
Attachment of GPI anchor to uPAR	REACT:R-HSA-162791
Attenuation phase	REACT:R-HSA-3371568
AUF1 (hnRNP D0) binds and destabilizes mRNA	REACT:R-HSA-450408
AURKA Activation by TPX2	REACT:R-HSA-8854518
Autodegradation of Cdh1 by Cdh1:APC/C	REACT:R-HSA-174084
Autodegradation of the E3 ubiquitin ligase COP1	REACT:R-HSA-349425
Autoimmune thyroid disease	KEGG:hsa05320
Autointegration results in viral DNA circles	REACT:R-HSA-177539
Autophagy - animal	KEGG:hsa04140
Autophagy - other	KEGG:hsa04136
AXIN missense mutants destabilize the destruction complex	REACT:R-HSA-5467340
AXIN mutants destabilize the destruction complex, activating WNT signaling	REACT:R-HSA-4839735
Axonal growth inhibition (RHOA activation)	REACT:R-HSA-193634
Axonal growth stimulation	REACT:R-HSA-209563
Axon guidance	KEGG:hsa04360
Axon guidance	REACT:R-HSA-422475
Bacterial invasion of epithelial cells	KEGG:hsa05100
Basal cell carcinoma	KEGG:hsa05217
Basal transcription factors	KEGG:hsa03022
Base excision repair	KEGG:hsa03410
Base Excision Repair	REACT:R-HSA-73884
Base-Excision Repair, AP Site Formation	REACT:R-HSA-73929
Basigin interactions	REACT:R-HSA-210991
BBSome-mediated cargo-targeting to cilium	REACT:R-HSA-5620922
B cell receptor signaling pathway	KEGG:hsa04662
BER complex	KEGG:hsa_M00296
beta-Alanine metabolism	KEGG:hsa00410
Beta-catenin independent WNT signaling	REACT:R-HSA-3858494
Beta-catenin phosphorylation cascade	REACT:R-HSA-196299
Beta defensins	REACT:R-HSA-1461957
betaKlotho-mediated ligand binding	REACT:R-HSA-1307965
beta-Oxidation	KEGG:hsa_M00087
beta-Oxidation, acyl-CoA synthesis	KEGG:hsa_M00086
Beta oxidation of butanoyl-CoA to acetyl-CoA	REACT:R-HSA-77352
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	REACT:R-HSA-77346
Beta oxidation of hexanoyl-CoA to butanoyl-CoA	REACT:R-HSA-77350
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA	REACT:R-HSA-77310
Beta oxidation of myristoyl-CoA to lauroyl-CoA	REACT:R-HSA-77285
Beta oxidation of octanoyl-CoA to hexanoyl-CoA	REACT:R-HSA-77348
Beta oxidation of palmitoyl-CoA to myristoyl-CoA	REACT:R-HSA-77305
Beta-oxidation of pristanoyl-CoA	REACT:R-HSA-389887
Beta-oxidation of very long chain fatty acids	REACT:R-HSA-390247
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members	REACT:R-HSA-111453
Bicarbonate transporters	REACT:R-HSA-425381
Bile acid and bile salt metabolism	REACT:R-HSA-194068
Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate	KEGG:hsa_M00104
Bile secretion	KEGG:hsa04976
Binding and entry of HIV virion	REACT:R-HSA-173107
Binding and Uptake of Ligands by Scavenger Receptors	REACT:R-HSA-2173782
Binding of TCF/LEF:CTNNB1 to target gene promoters	REACT:R-HSA-4411364
Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB	REACT:R-HSA-141333
Biological oxidations	REACT:R-HSA-211859
Biosynthesis of A2E, implicated in retinal degradation	REACT:R-HSA-2466712
Biosynthesis of amino acids	KEGG:hsa01230
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	REACT:R-HSA-446193
Biosynthesis of unsaturated fatty acids	KEGG:hsa01040
Biotin metabolism	KEGG:hsa00780
Biotin transport and metabolism	REACT:R-HSA-196780
Bladder cancer	KEGG:hsa05219
Bloom's syndrome complex	KEGG:hsa_M00414
BMAL1:CLOCK,NPAS2 activates circadian gene expression	REACT:R-HSA-1368108
BMP signaling	KEGG:hsa_M00679
Branched-chain amino acid catabolism	REACT:R-HSA-70895
BRCA1-associated genome surveillance complex (BASC)	KEGG:hsa_M00295
Breakdown of the nuclear lamina	REACT:R-HSA-352238
Breast cancer	KEGG:hsa05224
Budding	REACT:R-HSA-168302
Budding and maturation of HIV virion	REACT:R-HSA-162588
Butanoate metabolism	KEGG:hsa00650
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	REACT:R-HSA-450385
Butyrophilin (BTN) family interactions	REACT:R-HSA-8851680
B-WICH complex positively regulates rRNA expression	REACT:R-HSA-5250924
C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone	KEGG:hsa_M00110
C1-unit interconversion, eukaryotes	KEGG:hsa_M00141
C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone	KEGG:hsa_M00108
C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	KEGG:hsa_M00109
C5 isoprenoid biosynthesis, mevalonate pathway	KEGG:hsa_M00095
C6 deamination of adenosine	REACT:R-HSA-75102
Ca2+ activated K+ channels	REACT:R-HSA-1296052
Ca2+ pathway	REACT:R-HSA-4086398
Ca-dependent events	REACT:R-HSA-111996
Caffeine metabolism	KEGG:hsa00232
Calcitonin-like ligand receptors	REACT:R-HSA-419812
Calcium signaling pathway	KEGG:hsa04020
Calmodulin induced events	REACT:R-HSA-111933
Calnexin/calreticulin cycle	REACT:R-HSA-901042
CaMK IV-mediated phosphorylation of CREB	REACT:R-HSA-111932
CaM pathway	REACT:R-HSA-111997
Cam-PDE 1 activation	REACT:R-HSA-111957
cAMP signaling	KEGG:hsa_M00695
cAMP signaling pathway	KEGG:hsa04024
Cap binding complex	KEGG:hsa_M00399
Cap-dependent Translation Initiation	REACT:R-HSA-72737
Carbohydrate digestion and absorption	KEGG:hsa04973
Carbon metabolism	KEGG:hsa01200
